match_id,player_id,date,average,average_last4,dismissal_rate,dismissal_rate_last4,av_n,dr_n
9226,2685,2018-04-28,25.23076923076923,12.0,35.0,17.666666666666668,26.0,9.0
9226,2686,2018-04-28,22.0,6.333333333333333,57.5,49.0,23.0,6.0
9226,2691,2018-04-28,6.4,3.75,18.666666666666668,18.666666666666668,7.0,3.0
9226,2694,2018-04-28,1.3333333333333333,1.0,6.0,7.0,8.0,6.0
7990,3768,2018-04-28,40.95454545454545,74.66666666666667,40.38095238095238,61.333333333333336,24.0,22.0
11172,4631,2018-04-28,10.235294117647058,5.0,16.5,26.0,22.0,6.0
11172,4632,2018-04-28,9.2,1.0,27.5,27.5,12.0,3.0
11172,4635,2018-04-28,14.894736842105264,9.75,26.166666666666668,39.333333333333336,23.0,7.0
11172,4636,2018-04-28,21.23076923076923,25.0,148.0,148.0,17.0,3.0
7990,4678,2018-04-28,8.75,3.6666666666666665,18.5,11.333333333333334,10.0,10.0
7990,4680,2018-04-28,26.85,49.75,38.333333333333336,59.0,21.0,16.0
13583,5604,2018-04-28,40.89473684210526,49.0,54.68421052631579,63.333333333333336,21.0,21.0
13583,5605,2018-04-28,24.043478260869566,21.25,37.82608695652174,30.75,25.0,25.0
11172,5610,2018-04-28,27.15,43.0,38.294117647058826,72.5,28.0,24.0
13583,5611,2018-04-28,41.625,37.0,61.375,80.0,17.0,16.0
13583,5612,2018-04-28,24.647058823529413,16.0,42.46666666666667,34.333333333333336,21.0,18.0
13583,5613,2018-04-28,11.454545454545455,18.5,22.7,18.5,17.0,16.0
13583,5627,2018-04-28,30.066666666666666,27.0,33.266666666666666,29.5,33.0,33.0
13583,5629,2018-04-28,38.82608695652174,54.5,51.17391304347826,88.0,32.0,32.0
13583,5630,2018-04-28,20.615384615384617,40.0,21.692307692307693,29.666666666666668,29.0,29.0
13583,5632,2018-04-28,27.238095238095237,28.25,33.19047619047619,44.5,28.0,27.0
13583,5633,2018-04-28,17.857142857142858,30.75,27.923076923076923,41.25,31.0,28.0
13583,5635,2018-04-28,8.777777777777779,10.5,19.11111111111111,11.5,16.0,15.0
13583,5636,2018-04-28,11.571428571428571,24.5,14.714285714285714,30.0,16.0,14.0
13583,5641,2018-04-28,14.5,10.0,13.428571428571429,7.666666666666667,19.0,19.0
13583,5642,2018-04-28,,,,,1.0,0.0
13583,5643,2018-04-28,,,,,0.0,0.0
13583,5685,2018-04-28,31.0,31.0,40.0,40.0,1.0,1.0
11172,5687,2018-04-28,14.25,4.25,17.0,12.5,18.0,10.0
11172,5688,2018-04-28,23.181818181818183,16.666666666666668,21.31578947368421,29.333333333333332,27.0,21.0
11172,5689,2018-04-28,6.0,6.0,23.5,23.5,4.0,3.0
13583,5690,2018-04-28,15.0,15.0,15.0,15.0,1.0,1.0
11172,5799,2018-04-28,50.9,34.333333333333336,71.375,51.0,15.0,12.0
13583,5800,2018-04-28,26.857142857142858,9.0,22.8,18.5,12.0,9.0
11172,5805,2018-04-28,28.0,52.0,35.0,35.0,6.0,4.0
15448,5899,2018-04-28,19.6875,8.25,36.785714285714285,18.5,17.0,15.0
15448,5901,2018-04-28,26.6,37.5,28.8,42.75,14.0,13.0
9226,5903,2018-04-28,37.5,125.0,131.0,inf,20.0,6.0
9226,5904,2018-04-28,7.166666666666667,8.0,,,7.0,0.0
9226,5905,2018-04-28,34.0,21.5,15.0,19.0,25.0,8.0
9226,5909,2018-04-28,7.2727272727272725,7.25,10.0,7.333333333333333,14.0,6.0
