match_id,player_id,average,average_last4,dismissal_rate,dismissal_rate_last4,av_n,dr_n
9226,2685,,,,,0.0,0.0
9226,2686,20.608695652173914,28.0,24.0,24.0,14.0,1.0
9226,2691,22.285714285714285,51.0,19.0,19.0,16.0,1.0
9226,2694,24.125,15.75,12.666666666666666,12.666666666666666,28.0,1.0
7990,3768,,,,,1.0,0.0
11172,4631,29.0,29.0,,,1.0,0.0
11172,4632,37.285714285714285,15.666666666666666,37.0,37.0,26.0,1.0
11172,4635,16.333333333333332,16.333333333333332,,,3.0,0.0
11172,4636,31.5,24.0,,,6.0,0.0
7990,4678,16.71794871794872,15.0,,,23.0,1.0
7990,4680,12.4,6.363636363636363,,,15.0,0.0
13583,5604,,,,,0.0,0.0
13583,5605,23.0,128.0,,,24.0,1.0
11172,5610,25.0,25.0,,,1.0,0.0
13583,5611,16.317073170731707,16.666666666666668,10.5,10.5,25.0,1.0
13583,5612,31.0,31.0,,,2.0,0.0
13583,5613,21.181818181818183,24.666666666666668,,,30.0,1.0
13583,5627,21.625,8.833333333333334,,,9.0,0.0
13583,5629,15.75,15.5,,,6.0,0.0
13583,5630,17.632653061224488,19.6,39.5,39.5,29.0,2.0
13583,5632,,,,,1.0,0.0
13583,5633,,,,,2.0,0.0
13583,5635,23.24,37.5,,,26.0,2.0
13583,5636,18.261904761904763,14.0,15.4,15.4,27.0,2.0
13583,5641,21.28205128205128,35.5,30.666666666666668,30.666666666666668,25.0,2.0
13583,5642,29.5,29.5,41.0,41.0,2.0,2.0
13583,5643,122.0,122.0,84.0,84.0,2.0,2.0
13583,5685,32.0,32.0,,,2.0,0.0
11172,5687,17.27906976744186,12.666666666666666,18.666666666666668,18.666666666666668,31.0,1.0
11172,5688,26.866666666666667,12.285714285714286,50.0,50.0,19.0,1.0
11172,5689,16.40740740740741,18.5,,,14.0,0.0
13583,5690,10.333333333333334,10.333333333333334,13.0,13.0,2.0,1.0
11172,5799,,,,,0.0,0.0
13583,5800,,,,,0.0,0.0
11172,5805,13.454545454545455,8.142857142857142,12.4,12.4,21.0,1.0
15448,5899,,,,,0.0,0.0
15448,5901,,,,,0.0,0.0
9226,5903,24.42105263157895,,,,15.0,1.0
9226,5904,,,,,0.0,0.0
9226,5905,21.25,21.25,,,3.0,0.0
9226,5909,22.75,14.333333333333334,10.5,10.5,16.0,2.0
9226,5910,,,,,0.0,0.0
9226,5913,64.0,64.0,,,4.0,0.0
9226,5914,,,,,1.0,0.0
9226,6304,23.848484848484848,13.666666666666666,37.0,37.0,24.0,1.0
7990,6357,22.321428571428573,12.625,,,19.0,1.0
9226,6663,21.7,25.25,,,15.0,1.0
9226,6665,68.5,68.5,,,4.0,0.0
13583,6752,,,,,4.0,0.0
7990,6952,28.225806451612904,18.4,31.5,31.5,22.0,1.0
7990,6953,,,,,1.0,0.0
7990,6954,5.0,5.0,,,1.0,0.0
7990,6955,18.153846153846153,10.0,,,15.0,0.0
7990,6956,,,,,0.0,0.0
7990,6957,24.666666666666668,24.666666666666668,22.333333333333332,22.333333333333332,2.0,1.0
11172,7238,24.5,24.5,,,2.0,0.0
11172,7239,63.0,63.0,,,2.0,0.0
11172,7241,26.95,31.0,,,18.0,1.0
9226,7261,16.53846153846154,21.0,,,10.0,1.0
9226,7275,22.7,,,,10.0,0.0
9226,7279,25.17142857142857,30.571428571428573,,,19.0,1.0
7990,7332,,,,,0.0,0.0
